EMDBID	MapModification	XmlModification	ImageModification	MapFile	XmlFile	ImageFile
0153	12/17/18	12/21/18	12/17/18	/pub/databases/emdb/structures/EMD-0153/map/emd_0153.map.gz	/pub/databases/emdb/structures/EMD-0153/header/emd-0153.xml	/pub/databases/emdb/structures/EMD-0153/images/emd_0153.png
0154	09/20/18	12/14/18	09/20/18	/pub/databases/emdb/structures/EMD-0154/map/emd_0154.map.gz	/pub/databases/emdb/structures/EMD-0154/header/emd-0154.xml	/pub/databases/emdb/structures/EMD-0154/images/emd_0154.png
0155	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0155/map/emd_0155.map.gz	/pub/databases/emdb/structures/EMD-0155/header/emd-0155.xml	/pub/databases/emdb/structures/EMD-0155/images/emd_0155.png
0156	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0156/map/emd_0156.map.gz	/pub/databases/emdb/structures/EMD-0156/header/emd-0156.xml	/pub/databases/emdb/structures/EMD-0156/images/emd_0156.png
0157	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0157/map/emd_0157.map.gz	/pub/databases/emdb/structures/EMD-0157/header/emd-0157.xml	/pub/databases/emdb/structures/EMD-0157/images/emd_0157.png
0158	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0158/map/emd_0158.map.gz	/pub/databases/emdb/structures/EMD-0158/header/emd-0158.xml	/pub/databases/emdb/structures/EMD-0158/images/emd_0158.png
0159	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0159/map/emd_0159.map.gz	/pub/databases/emdb/structures/EMD-0159/header/emd-0159.xml	/pub/databases/emdb/structures/EMD-0159/images/emd_0159.png
0160	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0160/map/emd_0160.map.gz	/pub/databases/emdb/structures/EMD-0160/header/emd-0160.xml	/pub/databases/emdb/structures/EMD-0160/images/emd_0160.png
0161	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0161/map/emd_0161.map.gz	/pub/databases/emdb/structures/EMD-0161/header/emd-0161.xml	/pub/databases/emdb/structures/EMD-0161/images/emd_0161.png
0162	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0162/map/emd_0162.map.gz	/pub/databases/emdb/structures/EMD-0162/header/emd-0162.xml	/pub/databases/emdb/structures/EMD-0162/images/emd_0162.png
0163	09/29/18	12/14/18	09/29/18	/pub/databases/emdb/structures/EMD-0163/map/emd_0163.map.gz	/pub/databases/emdb/structures/EMD-0163/header/emd-0163.xml	/pub/databases/emdb/structures/EMD-0163/images/emd_0163.png
